Feature,Coefficient,Absolute_Value
Albumin,-0.7597092633121889,0.7597092633121889
Total_Protiens,0.5836945634675526,0.5836945634675526
Direct_Bilirubin,0.4809093287323543,0.4809093287323543
Age,0.3390120942796983,0.3390120942796983
Alamine_Aminotransferase,0.3272579873856956,0.3272579873856956
Aspartate_Aminotransferase,0.3124224691359926,0.3124224691359926
Albumin_and_Globulin_Ratio,0.30566711050227285,0.30566711050227285
Alkaline_Phosphotase,0.24379590833709444,0.24379590833709444
Gender,0.08456181002092106,0.08456181002092106
Total_Bilirubin,-0.017065611552164482,0.017065611552164482
